date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:44	214/214	---MC-	302	error ('Found')	text/html	date:Fri,%2003%20Aug%202018%2012:26:42%20GMT	http://www.momsis.co.kr/robots.txt		(from )
21:26:45	516/516	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:26:42%20GMT	http://www.momsis.co.kr/	C:/momsis_WebProject/momsis/www.momsis.co.kr/index.html	(from )
21:26:45	0/0	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:26:42%20GMT	http://www.momsis.co.kr/no.php	C:/momsis_WebProject/momsis/www.momsis.co.kr/no.html	(from http://www.momsis.co.kr/)
21:26:45	14560/14560	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:26:43%20GMT	http://www.momsis.co.kr/index.php	C:/momsis_WebProject/momsis/www.momsis.co.kr/index-2.html	(from http://www.momsis.co.kr/)
21:26:46	1302/1302	---MCZ	200	added ('OK')	text/css	etag:W/%225265312-516-4d6757f2%22	http://www.momsis.co.kr/style.css	C:/momsis_WebProject/momsis/www.momsis.co.kr/style.css	(from http://www.momsis.co.kr/index.php)
21:26:47	15058/15058	---MCZ	200	added ('OK')	application/javascript	etag:W/%2252ccfaa-3ad2-4d673c34%22	http://www.momsis.co.kr/js/common.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/common.js	(from http://www.momsis.co.kr/index.php)
21:26:47	11505/11505	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:26:44%20GMT	http://www.momsis.co.kr/bbs/login.php?url=%2Findex.php	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/logine98e.html	(from http://www.momsis.co.kr/index.php)
21:26:47	72328/72328	---MCZ	200	added ('OK')	application/javascript	etag:W/%2252ccfb1-11a88-4d673c35%22	http://www.momsis.co.kr/js/jquery-1.4.2.min.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/jquery-1.4.2.min.js	(from http://www.momsis.co.kr/index.php)
21:26:47	645/645	---M--	200	added ('OK')	application/javascript	etag:%22526532a-285-4d676f0a%22	http://www.momsis.co.kr/sub_a.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/sub_a.js	(from http://www.momsis.co.kr/index.php)
21:26:47	28241/28241	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:26:44%20GMT	http://www.momsis.co.kr/bbs/register.php	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/register.html	(from http://www.momsis.co.kr/index.php)
21:26:48	644/644	---M--	200	added ('OK')	application/javascript	etag:%22526532d-284-4d70a3ca%22	http://www.momsis.co.kr/main_l.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/main_l.js	(from http://www.momsis.co.kr/index.php)
21:26:48	6134/6134	---M--	200	added ('OK')	image/gif	etag:%2252ccfb9-17f6-50dc1808%22	http://www.momsis.co.kr/main/z.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/main/z.gif	(from http://www.momsis.co.kr/index.php)
21:26:48	9047/9047	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:26:46%20GMT	http://www.momsis.co.kr/a4.php	C:/momsis_WebProject/momsis/www.momsis.co.kr/a4.html	(from http://www.momsis.co.kr/index.php)
21:26:49	1592/1592	---M--	200	added ('OK')	image/gif	etag:%2252ccfc0-638-50dd6947%22	http://www.momsis.co.kr/main/a1.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/main/a1.gif	(from http://www.momsis.co.kr/index.php)
21:26:49	12621/12621	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:26:46%20GMT	http://www.momsis.co.kr/bbs/board.php?bo_table=e3	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/board5f62.html	(from http://www.momsis.co.kr/index.php)
21:26:50	14678/14678	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:26:47%20GMT	http://www.momsis.co.kr/bbs/board.php?bo_table=e1	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/boardfe4c.html	(from http://www.momsis.co.kr/index.php)
21:26:50	1371/1371	---M--	200	added ('OK')	image/gif	etag:%2252ccfbc-55b-50dd6948%22	http://www.momsis.co.kr/main/a2.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/main/a2.gif	(from http://www.momsis.co.kr/index.php)
21:26:50	315/315	---M--	200	added ('OK')	image/gif	etag:%2252a4e8d-13b-4d707fba%22	http://www.momsis.co.kr/skin/latest/sygnus/img/dot.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/skin/latest/sygnus/img/dot.gif	(from http://www.momsis.co.kr/index.php)
21:26:50	10897/10897	---M--	200	added ('OK')	image/gif	etag:%2252ccfb8-2a91-50dd6cba%22	http://www.momsis.co.kr/main/e.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/main/e.gif	(from http://www.momsis.co.kr/index.php)
21:26:50	45/45	---M--	200	added ('OK')	image/gif	etag:%2252a4e8b-2d-4d707fbb%22	http://www.momsis.co.kr/skin/latest/sygnus/img/line.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/skin/latest/sygnus/img/line.gif	(from http://www.momsis.co.kr/index.php)
21:26:50	16270/16270	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:26:47%20GMT	http://www.momsis.co.kr/bbs/board.php?bo_table=e3&wr_id=1	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/board08c0.html	(from http://www.momsis.co.kr/index.php)
21:26:51	18373/18373	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:26:48%20GMT	http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=12	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/board1735.html	(from http://www.momsis.co.kr/index.php)
